file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\schema\TypeSchemaVisitor.java,uk.co.real_logic.sbe.properties.schema.TypeSchemaVisitor,interface,4,11,7,4,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-benchmarks\src\main\java\uk\co\real_logic\sbe\MarketDataBenchmark.java,uk.co.real_logic.sbe.MarketDataBenchmark,class,9,11,2,9,11,1,0,31,21,0.0,0.0,0.0,7,5,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,100,2,4,0,0,0,2,25,24,9,24,1,0,1,0,50,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\schema\TestXmlSchemaWriter.java,uk.co.real_logic.sbe.properties.schema.TestXmlSchemaWriter,class,15,18,3,15,31,1,0,50,78,0.0,0.0,0.0,13,12,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,227,8,9,0,2,1,77,3,31,6,31,2,0,1,0,106,17,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\java\JavaDtos.java,uk.co.real_logic.sbe.generation.java.JavaDtos,class,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\Presence.java,uk.co.real_logic.sbe.xml.Presence,enum,1,8,7,1,5,1,0,2,0,0.33333334,0.33333334,0.33333334,3,1,2,0,0,1,3,0,0,0,2,1,0,2,0,0,2,0,1,20,2,1,0,0,0,4,0,2,1,2,2,0,0,0,56,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\json\JsonPrinter.java,uk.co.real_logic.sbe.json.JsonPrinter,class,8,11,3,8,6,1,0,13,4,0.5,0.16666667,0.16666667,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,1,32,1,0,1,0,0,2,1,10,2,10,1,0,0,0,62,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\arbitraries\SbeArbitraries.java,uk.co.real_logic.sbe.properties.arbitraries.SbeArbitraries,class,34,38,4,34,99,1,0,128,431,0.9444444,0.0,0.0,30,29,3,27,0,0,3,0,0,0,3,3,1,2,0,0,3,0,50,563,51,10,13,1,6,93,84,104,49,239,4,0,4,57,208,17,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\schema\VarDataSchema.java,uk.co.real_logic.sbe.properties.schema.VarDataSchema$Encoding,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\c\COutputManager.java,uk.co.real_logic.sbe.generation.c.COutputManager,class,1,2,1,1,5,1,0,7,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,17,1,0,0,0,0,5,0,4,5,4,1,0,0,0,65,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\java\JavaDtoGenerator.java,uk.co.real_logic.sbe.generation.java.JavaDtoGenerator$ClassBuilder,innerclass,0,0,0,0,7,1,0,3,2,0.59999996,0.5,1.0,5,0,4,1,0,0,4,0,0,0,6,0,0,6,0,0,6,0,0,30,3,0,1,1,0,5,1,6,1,6,1,0,0,0,22,26,0
